,seed,recommender,annotated,skipped,budget
226,0,LinUCB,483.0,633,1700
227,0,LinUCB,483.0,633,1700
228,0,LinUCB,483.0,633,1700
229,0,LinUCB,483.0,633,1700
230,0,LinUCB,483.0,633,1700
231,0,LinUCB,483.0,633,1700
232,0,LinUCB,483.0,633,1700
233,0,LinUCB,483.0,633,1700
234,0,LinUCB,483.0,633,1700
235,0,LinUCB,483.0,633,1700
236,0,LinUCB,483.0,633,1700
237,0,LinUCB,483.0,633,1700
238,0,LinUCB,483.0,633,1700
239,0,LinUCB,483.0,633,1700
240,0,LinUCB,483.0,633,1700
241,0,LinUCB,483.0,633,1700
242,0,LinUCB,483.0,633,1700
243,0,LinUCB,483.0,633,1700
244,0,LinUCB,483.0,633,1700
245,0,LinUCB,483.0,633,1700
246,0,LinUCB,483.0,633,1700
247,0,LinUCB,483.0,633,1700
248,0,LinUCB,483.0,633,1700
249,0,LinUCB,483.0,633,1700
250,0,LinUCB,483.0,633,1700
251,0,LinUCB,483.0,633,1700
252,0,LinUCB,483.0,633,1700
253,0,LinUCB,483.0,633,1700
254,0,LinUCB,483.0,633,1700
255,0,LinUCB,483.0,633,1700
256,0,LinUCB,483.0,633,1700
257,0,LinUCB,483.0,633,1700
258,0,LinUCB,483.0,633,1700
259,0,LinUCB,483.0,633,1700
260,0,LinUCB,483.0,633,1700
261,0,LinUCB,483.0,633,1700
262,0,LinUCB,483.0,633,1700
263,0,LinUCB,483.0,633,1700
264,0,LinUCB,483.0,633,1700
265,0,LinUCB,483.0,633,1700
266,0,LinUCB,483.0,633,1700
267,0,LinUCB,483.0,633,1700
268,0,LinUCB,483.0,633,1700
269,0,LinUCB,483.0,633,1700
270,0,LinUCB,483.0,633,1700
271,0,LinUCB,483.0,633,1700
272,0,LinUCB,483.0,633,1700
273,0,LinUCB,483.0,633,1700
274,0,LinUCB,483.0,633,1700
275,0,LinUCB,483.0,633,1700
276,0,LinUCB,483.0,633,1700
277,0,LinUCB,483.0,633,1700
278,0,LinUCB,483.0,633,1700
279,0,LinUCB,483.0,633,1700
280,0,LinUCB,483.0,633,1700
281,0,LinUCB,483.0,633,1700
282,0,LinUCB,483.0,633,1700
283,0,LinUCB,483.0,633,1700
284,0,LinUCB,483.0,633,1700
285,0,LinUCB,483.0,633,1700
286,0,LinUCB,483.0,633,1700
287,0,LinUCB,483.0,633,1700
288,0,LinUCB,483.0,633,1700
289,0,LinUCB,483.0,633,1700
290,0,LinUCB,483.0,633,1700
291,0,LinUCB,483.0,633,1700
292,0,LinUCB,483.0,633,1700
293,0,LinUCB,483.0,633,1700
294,0,LinUCB,483.0,633,1700
295,0,LinUCB,483.0,633,1700
296,0,LinUCB,483.0,633,1700
297,0,LinUCB,483.0,633,1700
298,0,LinUCB,483.0,633,1700
299,0,LinUCB,483.0,633,1700
300,0,LinUCB,483.0,633,1700
301,0,LinUCB,483.0,633,1700
302,0,LinUCB,483.0,633,1700
303,0,LinUCB,483.0,633,1700
304,0,LinUCB,483.0,633,1700
305,0,LinUCB,483.0,633,1700
306,0,LinUCB,483.0,633,1700
307,0,LinUCB,483.0,633,1700
308,0,LinUCB,483.0,633,1700
309,0,LinUCB,483.0,633,1700
310,0,LinUCB,483.0,633,1700
311,0,LinUCB,483.0,633,1700
312,0,LinUCB,483.0,633,1700
313,0,LinUCB,483.0,633,1700
314,0,LinUCB,483.0,633,1700
315,0,LinUCB,483.0,633,1700
316,0,LinUCB,483.0,633,1700
317,0,LinUCB,483.0,633,1700
318,0,LinUCB,483.0,633,1700
319,0,LinUCB,483.0,633,1700
320,0,LinUCB,483.0,633,1700
321,0,LinUCB,483.0,633,1700
322,0,LinUCB,483.0,633,1700
323,0,LinUCB,483.0,633,1700
324,0,LinUCB,483.0,633,1700
325,0,LinUCB,483.0,633,1700
326,0,LinUCB,483.0,633,1700
327,0,LinUCB,483.0,633,1700
328,0,LinUCB,483.0,633,1700
329,0,LinUCB,483.0,633,1700
330,0,LinUCB,483.0,633,1700
331,0,LinUCB,483.0,633,1700
332,0,LinUCB,483.0,633,1700
333,0,LinUCB,483.0,633,1700
334,0,LinUCB,483.0,633,1700
335,0,LinUCB,483.0,633,1700
336,0,LinUCB,483.0,633,1700
337,0,LinUCB,483.0,633,1700
338,0,LinUCB,483.0,633,1700
339,0,LinUCB,483.0,633,1700
340,0,LinUCB,483.0,633,1700
341,0,LinUCB,483.0,633,1700
342,0,LinUCB,483.0,633,1700
343,0,LinUCB,483.0,833,1900
344,0,TS,16.0,0,100
345,0,TS,75.0,5,300
346,0,TS,75.0,5,300
347,0,TS,169.0,10,500
348,0,TS,275.0,24,700
349,0,TS,275.0,24,700
350,0,TS,356.0,99,900
351,0,TS,356.0,99,900
352,0,TS,356.0,99,900
353,0,TS,356.0,99,900
354,0,TS,356.0,99,900
355,0,TS,356.0,99,900
356,0,TS,356.0,99,900
357,0,TS,356.0,99,900
358,0,TS,356.0,99,900
359,0,TS,356.0,99,900
360,0,TS,356.0,99,900
361,0,TS,356.0,99,900
362,0,TS,356.0,99,900
363,0,TS,356.0,99,900
364,0,TS,356.0,99,900
365,0,TS,356.0,99,900
366,0,TS,356.0,99,900
367,0,TS,356.0,99,900
368,0,TS,356.0,99,900
369,0,TS,356.0,99,900
370,0,TS,356.0,99,900
371,0,TS,356.0,99,900
372,0,TS,356.0,99,900
373,0,TS,356.0,99,900
374,0,TS,356.0,99,900
375,0,TS,356.0,99,900
376,0,TS,356.0,99,900
377,0,TS,356.0,99,900
378,0,TS,356.0,99,900
379,0,TS,356.0,99,900
380,0,TS,356.0,99,900
381,0,TS,356.0,99,900
382,0,TS,356.0,99,900
383,0,TS,356.0,99,900
384,0,TS,356.0,99,900
385,0,TS,356.0,99,900
386,0,TS,356.0,99,900
387,0,TS,356.0,99,900
388,0,TS,356.0,99,900
389,0,TS,356.0,99,900
390,0,TS,356.0,99,900
391,0,TS,356.0,99,900
392,0,TS,356.0,99,900
393,0,TS,356.0,99,900
394,0,TS,356.0,99,900
395,0,TS,356.0,99,900
396,0,TS,356.0,99,900
397,0,TS,356.0,99,900
398,0,TS,356.0,99,900
399,0,TS,356.0,99,900
400,0,TS,356.0,99,900
401,0,TS,356.0,99,900
402,0,TS,356.0,99,900
403,0,TS,356.0,99,900
404,0,TS,356.0,99,900
405,0,TS,356.0,99,900
406,0,TS,356.0,99,900
407,0,TS,356.0,99,900
408,0,TS,356.0,99,900
409,0,TS,356.0,99,900
410,0,TS,356.0,99,900
411,0,TS,356.0,99,900
412,0,TS,356.0,99,900
413,0,TS,356.0,99,900
414,0,TS,356.0,99,900
415,0,TS,356.0,99,900
416,0,TS,356.0,99,900
417,0,TS,356.0,99,900
418,0,TS,356.0,99,900
419,0,TS,356.0,99,900
420,0,TS,356.0,99,900
421,0,TS,356.0,99,900
422,0,TS,356.0,99,900
423,0,TS,356.0,99,900
424,0,TS,356.0,99,900
425,0,TS,356.0,99,900
426,0,TS,356.0,99,900
427,0,TS,356.0,99,900
428,0,TS,356.0,99,900
429,0,TS,356.0,99,900
430,0,TS,356.0,99,900
431,0,TS,356.0,99,900
432,0,TS,356.0,99,900
433,0,TS,356.0,99,900
434,0,TS,356.0,99,900
435,0,TS,356.0,99,900
436,0,TS,356.0,99,900
437,0,TS,356.0,99,900
438,0,TS,356.0,99,900
439,0,TS,356.0,99,900
440,0,TS,356.0,99,900
441,0,TS,356.0,99,900
442,0,TS,356.0,99,900
443,0,TS,356.0,99,900
444,0,TS,356.0,99,900
445,0,TS,356.0,99,900
446,0,TS,356.0,99,900
447,0,TS,356.0,99,900
448,0,TS,356.0,99,900
449,0,TS,356.0,99,900
450,0,TS,356.0,99,900
451,0,TS,356.0,99,900
452,0,TS,356.0,99,900
453,0,TS,356.0,99,900
454,0,TS,356.0,99,900
455,0,TS,356.0,99,900
456,0,TS,356.0,99,900
457,0,TS,356.0,99,900
458,0,TS,356.0,99,900
459,0,TS,356.0,99,900
460,0,TS,356.0,99,900
461,0,TS,356.0,99,900
462,0,TS,356.0,99,900
463,0,TS,356.0,99,900
464,0,TS,356.0,99,900
465,0,TS,356.0,99,900
466,0,TS,356.0,99,900
467,0,TS,356.0,99,900
468,0,TS,356.0,99,900
469,0,TS,356.0,99,900
470,0,TS,356.0,99,900
471,0,TS,356.0,99,900
472,0,TS,356.0,99,900
473,0,TS,356.0,99,900
474,0,TS,356.0,99,900
475,0,TS,356.0,99,900
476,0,TS,356.0,99,900
477,0,TS,356.0,99,900
478,0,TS,356.0,99,900
479,0,TS,356.0,99,900
480,0,TS,356.0,99,900
481,0,TS,356.0,99,900
482,0,TS,356.0,99,900
483,0,TS,356.0,99,900
484,0,TS,356.0,99,900
485,0,TS,356.0,99,900
486,0,TS,356.0,99,900
487,0,TS,356.0,99,900
488,0,TS,356.0,99,900
489,0,TS,356.0,99,900
490,0,TS,356.0,99,900
491,0,TS,356.0,99,900
492,0,TS,356.0,99,900
493,0,TS,356.0,99,900
494,0,TS,356.0,99,900
495,0,TS,356.0,99,900
496,0,TS,356.0,99,900
497,0,TS,356.0,99,900
498,0,TS,357.0,298,1100
499,0,TS,357.0,298,1100
500,0,TS,357.0,298,1100
501,0,TS,357.0,298,1100
502,0,TS,357.0,298,1100
503,0,TS,357.0,298,1100
504,0,TS,357.0,298,1100
505,0,TS,357.0,298,1100
506,0,TS,357.0,298,1100
507,0,TS,357.0,298,1100
508,0,TS,357.0,298,1100
509,0,TS,357.0,298,1100
510,0,TS,357.0,298,1100
511,0,TS,357.0,298,1100
512,0,TS,357.0,298,1100
513,0,TS,357.0,298,1100
514,0,TS,357.0,298,1100
515,0,TS,357.0,298,1100
516,0,TS,357.0,298,1100
517,0,TS,357.0,298,1100
518,0,TS,357.0,298,1100
519,0,TS,357.0,298,1100
520,0,TS,357.0,298,1100
521,0,TS,357.0,298,1100
522,0,TS,357.0,298,1100
523,0,TS,357.0,298,1100
524,0,TS,357.0,298,1100
525,0,TS,357.0,298,1100
526,0,TS,357.0,298,1100
527,0,TS,357.0,298,1100
528,0,TS,357.0,298,1100
529,0,TS,357.0,298,1100
530,0,TS,357.0,298,1100
531,0,TS,357.0,298,1100
532,0,TS,357.0,298,1100
533,0,TS,357.0,298,1100
534,0,TS,357.0,298,1100
535,0,TS,357.0,298,1100
536,0,TS,357.0,298,1100
537,0,TS,357.0,298,1100
538,0,TS,357.0,298,1100
539,0,TS,357.0,298,1100
540,0,TS,357.0,298,1100
541,0,TS,357.0,298,1100
542,0,TS,357.0,298,1100
543,0,TS,357.0,298,1100
544,0,TS,357.0,298,1100
545,0,TS,357.0,298,1100
546,0,TS,357.0,298,1100
547,0,TS,357.0,298,1100
548,0,TS,357.0,298,1100
549,0,TS,357.0,298,1100
550,0,TS,357.0,298,1100
551,0,TS,357.0,298,1100
552,0,TS,357.0,298,1100
553,0,TS,357.0,298,1100
554,0,TS,357.0,298,1100
555,0,TS,357.0,298,1100
556,0,TS,357.0,298,1100
557,0,TS,357.0,298,1100
558,0,TS,357.0,298,1100
559,0,TS,357.0,298,1100
560,0,TS,357.0,298,1100
561,0,TS,357.0,298,1100
562,0,TS,357.0,298,1100
563,0,TS,357.0,298,1100
564,0,TS,357.0,298,1100
565,0,TS,357.0,298,1100
566,0,TS,357.0,298,1100
567,0,TS,357.0,298,1100
568,0,TS,357.0,298,1100
569,0,TS,357.0,298,1100
570,0,TS,357.0,298,1100
571,0,TS,357.0,298,1100
572,0,TS,357.0,298,1100
573,0,TS,357.0,298,1100
574,0,TS,357.0,298,1100
575,0,TS,357.0,298,1100
576,0,TS,357.0,298,1100
